"genre_name","sales_2000s","sales_2010s","sales_change","pct_change"
Action-Adventure,0.99,147.48,146.49,14796.97
Visual Novel,0.07,5.68,5.61,8014.29
Music,0.85,50.90,50.05,5888.24
MMO,0.32,8.99,8.67,2709.38
Party,0.64,5.57,4.93,770.31
Education,0.36,0.61,0.25,69.44
Shooter,361.39,560.41,199.02,55.07
Role-Playing,170.05,215.43,45.38,26.69
Action,573.81,451.53,-122.28,-21.31
Sports,619.59,426.83,-192.76,-31.11
Misc,342.87,174.32,-168.55,-49.16
Fighting,170.67,83.13,-87.54,-51.29
Strategy,61.40,27.08,-34.32,-55.90
Adventure,208.93,83.74,-125.19,-59.92
Puzzle,66.85,23.66,-43.19,-64.61
Platform,210.14,72.03,-138.11,-65.72
Racing,333.18,111.44,-221.74,-66.55
Simulation,203.59,67.88,-135.71,-66.66
Sandbox,0.00,1.89,1.89,
Board Game,0.00,0.33,0.33,
